m,m0,null_%,dist,bonf_fdr,hoch_fdr,bh_fdr,bh_bound,controlled
4,0,0.00000,D,0.00000,0.00000,0.00000,0.00000,True
4,0,0.00000,E,0.00000,0.00000,0.00000,0.00000,True
4,0,0.00000,I,0.00000,0.00000,0.00000,0.00000,True
4,1,0.25000,D,0.00589,0.00905,0.01257,0.01250,True
4,1,0.25000,E,0.00589,0.00905,0.01257,0.01250,True
4,1,0.25000,I,0.00405,0.01125,0.01272,0.01250,True
4,2,0.50000,D,0.01899,0.02131,0.02661,0.02500,True
4,2,0.50000,E,0.00889,0.01783,0.02612,0.02500,True
4,2,0.50000,I,0.00927,0.01769,0.02605,0.02500,True
4,3,0.75000,D,0.01904,0.02455,0.03753,0.03750,True
4,3,0.75000,E,0.01904,0.02455,0.03753,0.03750,True
4,3,0.75000,I,0.01904,0.02455,0.03753,0.03750,True
8,0,0.00000,D,0.00000,0.00000,0.00000,0.00000,True
8,0,0.00000,E,0.00000,0.00000,0.00000,0.00000,True
8,0,0.00000,I,0.00000,0.00000,0.00000,0.00000,True
8,2,0.25000,D,0.00362,0.00552,0.01279,0.01250,True
8,2,0.25000,E,0.00383,0.00561,0.01274,0.01250,True
8,2,0.25000,I,0.00254,0.00541,0.01249,0.01250,True
8,4,0.50000,D,0.01201,0.01421,0.02621,0.02500,True
8,4,0.50000,E,0.00809,0.01142,0.02562,0.02500,True
8,4,0.50000,I,0.00611,0.01028,0.02564,0.02500,True
8,6,0.75000,D,0.02822,0.02912,0.03726,0.03750,True
8,6,0.75000,E,0.01255,0.01711,0.03800,0.03750,True
8,6,0.75000,I,0.01358,0.01782,0.03806,0.03750,True
16,0,0.00000,D,0.00000,0.00000,0.00000,0.00000,True
16,0,0.00000,E,0.00000,0.00000,0.00000,0.00000,True
16,0,0.00000,I,0.00000,0.00000,0.00000,0.00000,True
16,4,0.25000,D,0.00285,0.00347,0.01303,0.01250,True
16,4,0.25000,E,0.00184,0.00295,0.01309,0.01250,True
16,4,0.25000,I,0.00138,0.00304,0.01281,0.01250,True
16,8,0.50000,D,0.00628,0.00760,0.02558,0.02500,True
16,8,0.50000,E,0.00508,0.00659,0.02550,0.02500,True
16,8,0.50000,I,0.00426,0.00616,0.02566,0.02500,True
16,12,0.75000,D,0.01877,0.01971,0.03760,0.03750,True
16,12,0.75000,E,0.01258,0.01380,0.03736,0.03750,True
16,12,0.75000,I,0.00942,0.01108,0.03785,0.03750,True
32,0,0.00000,D,0.00000,0.00000,0.00000,0.00000,True
32,0,0.00000,E,0.00000,0.00000,0.00000,0.00000,True
32,0,0.00000,I,0.00000,0.00000,0.00000,0.00000,True
32,8,0.25000,D,0.00152,0.00194,0.01266,0.01250,True
32,8,0.25000,E,0.00098,0.00156,0.01265,0.01250,True
32,8,0.25000,I,0.00073,0.00153,0.01261,0.01250,True
32,16,0.50000,D,0.00395,0.00458,0.02524,0.02500,True
32,16,0.50000,E,0.00284,0.00371,0.02534,0.02500,True
32,16,0.50000,I,0.00222,0.00321,0.02532,0.02500,True
32,24,0.75000,D,0.00978,0.01068,0.03719,0.03750,True
32,24,0.75000,E,0.00773,0.00872,0.03714,0.03750,True
32,24,0.75000,I,0.00641,0.00740,0.03716,0.03750,True
64,0,0.00000,D,0.00000,0.00000,0.00000,0.00000,True
64,0,0.00000,E,0.00000,0.00000,0.00000,0.00000,True
64,0,0.00000,I,0.00000,0.00000,0.00000,0.00000,True
64,16,0.25000,D,0.00091,0.00112,0.01285,0.01250,True
64,16,0.25000,E,0.00060,0.00087,0.01271,0.01250,True
64,16,0.25000,I,0.00046,0.00082,0.01269,0.01250,True
64,32,0.50000,D,0.00265,0.00293,0.02465,0.02500,True
64,32,0.50000,E,0.00166,0.00202,0.02499,0.02500,True
64,32,0.50000,I,0.00121,0.00165,0.02500,0.02500,True
64,48,0.75000,D,0.00673,0.00711,0.03681,0.03750,True
64,48,0.75000,E,0.00466,0.00511,0.03694,0.03750,True
64,48,0.75000,I,0.00360,0.00411,0.03701,0.03750,True
