m,m0,m1,null_%,dist,bonf_power,hoch_power,bh_power,bh_gain
4,0,4,0.0000,D,0.4011,0.4479,0.4837,1.2058
4,0,4,0.0000,E,0.6236,0.6904,0.7111,1.1403
4,0,4,0.0000,I,0.8457,0.9124,0.9146,1.0815
4,1,3,0.2500,D,0.5006,0.5354,0.5737,1.1460
4,1,3,0.2500,E,0.5006,0.5354,0.5737,1.1460
4,1,3,0.2500,I,0.7973,0.8428,0.8702,1.0915
4,2,2,0.5000,D,0.3038,0.3132,0.3324,1.0942
4,2,2,0.5000,E,0.9941,0.9957,0.9974,1.0033
4,2,2,0.5000,I,0.9449,0.9554,0.9665,1.0229
4,3,1,0.7500,D,0.9942,0.9943,0.9944,1.0002
4,3,1,0.7500,E,0.9942,0.9943,0.9944,1.0002
4,3,1,0.7500,I,0.9942,0.9943,0.9944,1.0002
8,0,8,0.0000,D,0.4643,0.5144,0.5943,1.2799
8,0,8,0.0000,E,0.5780,0.6448,0.7066,1.2225
8,0,8,0.0000,I,0.6933,0.7757,0.8126,1.1722
8,2,6,0.2500,D,0.4669,0.4976,0.5774,1.2368
8,2,6,0.2500,E,0.4430,0.4751,0.5625,1.2696
8,2,6,0.2500,I,0.6915,0.7307,0.7863,1.1370
8,4,4,0.5000,D,0.3489,0.3595,0.4134,1.1848
8,4,4,0.5000,E,0.5794,0.5982,0.6592,1.1377
8,4,4,0.5000,I,0.8093,0.8331,0.8838,1.0921
8,6,2,0.7500,D,0.2369,0.2399,0.2570,1.0846
8,6,2,0.7500,E,0.9879,0.9891,0.9935,1.0057
8,6,2,0.7500,I,0.9186,0.9246,0.9478,1.0317
16,0,16,0.0000,D,0.3885,0.4246,0.5647,1.4538
16,0,16,0.0000,E,0.5330,0.5879,0.7017,1.3165
16,0,16,0.0000,I,0.6792,0.7577,0.8279,1.2189
16,4,12,0.2500,D,0.3389,0.3580,0.4852,1.4314
16,4,12,0.2500,E,0.5338,0.5659,0.6804,1.2745
16,4,12,0.2500,I,0.7276,0.7723,0.8554,1.1756
16,8,8,0.5000,D,0.4161,0.4296,0.5275,1.2677
16,8,8,0.5000,E,0.5344,0.5520,0.6504,1.2171
16,8,8,0.5000,I,0.6518,0.6734,0.7678,1.1780
16,12,4,0.7500,D,0.2981,0.3014,0.3469,1.1637
16,12,4,0.7500,E,0.5324,0.5392,0.6023,1.1312
16,12,4,0.7500,I,0.7654,0.7752,0.8425,1.1007
32,0,32,0.0000,D,0.3168,0.3406,0.5312,1.6769
32,0,32,0.0000,E,0.4930,0.5379,0.7013,1.4225
32,0,32,0.0000,I,0.6689,0.7471,0.8536,1.2761
32,8,24,0.2500,D,0.3166,0.3323,0.4991,1.5763
32,8,24,0.2500,E,0.4930,0.5212,0.6783,1.3759
32,8,24,0.2500,I,0.6689,0.7115,0.8416,1.2583
32,16,16,0.5000,D,0.3452,0.3559,0.4943,1.4320
32,16,16,0.5000,E,0.4928,0.5083,0.6464,1.3117
32,16,16,0.5000,I,0.6399,0.6618,0.7886,1.2325
32,24,8,0.7500,D,0.3747,0.3796,0.4685,1.2504
32,24,8,0.7500,E,0.4919,0.4987,0.5968,1.2134
32,24,8,0.7500,I,0.6089,0.6179,0.7215,1.1849
64,0,64,0.0000,D,0.2863,0.3051,0.5351,1.8690
64,0,64,0.0000,E,0.4534,0.4907,0.6999,1.5435
64,0,64,0.0000,I,0.6207,0.6885,0.8488,1.3674
64,16,48,0.2500,D,0.2979,0.3115,0.5179,1.7384
64,16,48,0.2500,E,0.4533,0.4774,0.6762,1.4918
64,16,48,0.2500,I,0.6083,0.6462,0.8223,1.3518
64,32,32,0.5000,D,0.2788,0.2864,0.4571,1.6399
64,32,32,0.5000,E,0.4528,0.4670,0.6454,1.4253
64,32,32,0.5000,I,0.6276,0.6501,0.8157,1.2996
64,48,16,0.7500,D,0.3075,0.3115,0.4326,1.4066
64,48,16,0.7500,E,0.4535,0.4596,0.5939,1.3098
64,48,16,0.7500,I,0.5982,0.6073,0.7470,1.2487
